rundir,bioboost,biospherism1,biospherism2,boostceil,credit,egoism1,egoism2,frame1,frame2,habitadjust,hedonism1,hedonism2,maxlinks,newsubcatapp,newsubcatstep,planning1,planning2,visits,split,rep,prep,biospheric.boost.ceiling,biospheric.boost.factor,credit.multiple.limit,habit.adjustment.factor,max.links,visits.per.step,appliance.elect.error,appliance.gas.error,space.heating.elect.error,space.heating.gas.error,space.heating.oil.error,water.heating.elect.error,water.heating.gas.error,water.heating.oil.error,appliance.elect.p.error,appliance.gas.p.error,space.heating.elect.p.error,space.heating.gas.p.error,space.heating.oil.p.error,water.heating.elect.p.error,water.heating.gas.p.error,water.heating.oil.p.error,appliance.elect.abs.error,appliance.gas.abs.error,space.heating.elect.abs.error,space.heating.gas.abs.error,space.heating.oil.abs.error,water.heating.elect.abs.error,water.heating.gas.abs.error,water.heating.oil.abs.error,calibration.error,abs.space.error,rel.space.error,abs.appliances.error,rel.appliances.error,abs.total.error,rel.total.error,abs.appliances.ratio.error,rel.appliances.ratio.error
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,2,3,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,239583,36499,15402.327,1606925.811,0,5461,552426,0,1.21290652464461,1.34226978523095,0.235254188877518,0.96026736404299,NA,0.189756419611522,1.38171440577071,NA,239583,36499,15402.327,1606925.811,0,5461,552426,0,2456297.138,1622328.138,1.93296980825655,276082,2.22855998576006,2456297.138,2.02679550973436,0.00935146290002491,1.09954851145893
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,2,4,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,232913,51146,10761.472,1597943.804,0,5461,555547,0,1.17913916001782,1.8809208590762,0.164370056971789,0.954899892734319,NA,0.189756419611522,1.38952057467009,NA,232913,51146,10761.472,1597943.804,0,5461,555547,0,2453772.276,1608705.276,1.92513556150317,284059,2.26405749377003,2453772.276,2.02574005234519,0.0110513898018757,1.11764463122943
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,2,5,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,249978,23754,15248.04,1636734.995,0,5461,548005,0,1.26553197521364,0.873565754633716,0.232897618793054,0.978080748051141,NA,0.189756419611522,1.37065670865307,NA,249978,23754,15248.04,1636734.995,0,5461,548005,0,2479181.035,1651983.035,1.95002377096601,273732,2.21810252758989,2479181.035,2.03636156846614,0.00838383472620155,1.08924788305676
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,2,6,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,234008,47037,11841.481,1552677.998,0,5461,541301,0,1.18468267789883,1.72981023830538,0.180866047563043,0.927849934415551,NA,0.189756419611522,1.35388882774904,NA,234008,47037,11841.481,1552677.998,0,5461,541301,0,2392326.479,1564519.479,1.89972515679579,281045,2.25064524741901,2392326.479,2.00005412555906,0.0117697900640543,1.1252921701756
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,2,7,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,246201,39025,15693.758,1598366.919,0,5461,560463,0,1.24641063545421,1.43516475433951,0.239705487925952,0.955152737963984,NA,0.189756419611522,1.40181635368623,NA,246201,39025,15693.758,1598366.919,0,5461,560463,0,2465210.677,1614060.677,1.92821534994243,285226,2.26925062299751,2465210.677,2.03052159876465,0.0110444067891664,1.11757029542463
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,2,8,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,236171,42630,14474.156,1481769.086,0,5461,550896,0,1.19563302417885,1.56774051191527,0.221077362496372,0.885476158633693,NA,0.189756419611522,1.37788760717537,NA,236171,42630,14474.156,1481769.086,0,5461,550896,0,2331401.242,1496243.242,1.86046080191571,278801,2.24065948736205,2331401.242,1.9745858062693,0.0126581632374066,1.13474911054661
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,7,1,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,243881,44499,6754.908,1455133.799,0,5461,543043,0,1.23466546514924,1.63647396293027,0.103174046524415,0.869559433254751,NA,0.189756419611522,1.35824587556151,NA,243881,44499,6754.908,1455133.799,0,5461,543043,0,2298772.707,1461888.707,1.84070416749574,288380,2.28328586685653,2298772.707,1.96094623770534,0.0154416178289885,1.16437963619461
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,7,2,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,237561,48335,9404.726,1607658.733,0,5461,547276,0,1.20267000121502,1.7775448661371,0.143647202578241,0.960705343862699,NA,0.189756419611522,1.36883335167529,NA,237561,48335,9404.726,1607658.733,0,5461,547276,0,2455696.459,1617063.459,1.92994219230013,285896,2.27223211107156,2455696.459,2.02654441043108,0.0113886455127082,1.12123479721237
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,7,3,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,242219,49124,9669.21800000001,1474566.777,0,5461,517952,0,1.22625146814629,1.80656075316269,0.147687037008752,0.881172199962352,NA,0.189756419611522,1.29548887977349,NA,242219,49124,9669.21800000001,1474566.777,0,5461,517952,0,2298991.995,1484235.995,1.85355566437363,291343,2.29647116411534,2298991.995,1.96103790574104,0.0160681144806176,1.17104883969469
fgridln07-0641,6.65320006738515,0.969448034509213,0.990049509828505,2390,2.46921513847379,1.1697550396638,2.35650900847264,0.860169790493352,0.943491997779258,0.369657112810046,3.70468287969649,4.87093934291883,17,5,3,5,15,4,0,7,4,2390,6.65320006738515,2.46921513847379,0.369657112810046,17,4,230364,56827,6754.90800000001,1568666.646,0,5461,547465,0,1.16623466040258,2.08984260076493,0.103174046524416,0.937404437034446,NA,0.189756419611522,1.36930607385471,NA,230364,56827,6754.90800000001,1568666.646,0,5461,547465,0,2415538.554,1575421.554,1.90599473110946,287191,2.27799483802065,2415538.554,2.00975737115296,0.0125377785191109,1.13346758704201
