urban_rural,respnr,own,dg,loft_100,loft_270,cavity_wi,solid_wi,minimum,dg,loft100,loft270,dg-loft100,dg-loft270,cwi,dg-cwi,loft100-cwi,loft270-cwi,dg-loft100-cwi,dg-loft270-cwi,swi,dg-swi,loft100-swi,loft270-swi,dg-loft100-swi,dg-loft270-swi,primary_heat_GAS_2010,primary_heat_ELECT_2010,primary_heat_OIL_2010,boil_condensing_2010,gas_boil_cond_2010,oil_boil_cond_2010,fr-freezers-missing-values-zeroed,fridges-missing-values-zeroed,freezers-missing-values-zeroed,dishwashers-missing-values-zeroed,dryers-missing-values-zeroed,hobtype-missing-values-filled,oventype-missing-values-filled,gas-oven-electric-hob,TVst_2010,TVlcd_2010,Tvpla_2010,TV_2010,incomeUKNLDE_2010,household-type
urban,947,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,1,1,4,household
urban,964,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,2,0,1,1,2,0,0,1,0,1,6,household
urban,966,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,2,0,1,2,0,3,4,household
urban,967,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,2,2,0,0,3,0,3,5,household
urban,969,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,1,9,household
urban,970,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,2,10,household
urban,971,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,1,3,2,0,2,0,0,2,6,household
urban,977,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,1,5,household
urban,980,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,1,1,2,2,0,1,3,0,4,5,household
urban,981,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,2,2,0,0,1,1,2,3,household
urban,982,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,2,0,1,0,0,1,8,household
urban,983,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,2,0,1,3,0,4,7,household
urban,984,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,2,0,0,2,0,2,9,household
urban,985,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,2,0,3,1,0,4,5,household
urban,988,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,2,0,3,1,0,4,4,household
urban,991,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,2,0,0,5,0,5,7,household
urban,992,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,2,2,0,0,2,0,2,7,household
urban,993,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,1,2,0,0,2,0,2,6,household
urban,994,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,3,8,household
